,drug_supplier_id,name,phone,address
20,dsupp73766698,PT. Merck Tbk.,+62 (0068) 473 4063,"Jl. TB. Simatupang No 8 Pasar Rebo, Jakarta Timur 13760"
21,dsupp62386531,PT. Perusahaan Industri Farmasi Laurel (Farmasi Laurel),+62 (536) 099 2119,Jl. Raya Jakarta-Bogor Km 26 Jakarta"
22,dsupp06726706,PT. Global Multi Pharmalab,+62 (0148) 886-8126,"Kawasan Industri Terboyo Blok A 20-23, Jl. Kaligawe Km. 6, Semarang 50118"
23,dsupp24186049,PT. Pyridam Farma Tbk,+62-804-835-9149,"Jl. Hanjawar Pacet RT. 01 RW. 02, Cibodas, Kecamatan Pacet, Kabupaten Cianjur"
24,dsupp77028877,PT. Novell Pharmaceutical Laboratories,+62-027-700-2057,"Jl. Wanaherang No. 35 Tlajung Udik, Gunung Putri Bogor 16962"
25,dsupp22417657,PT. Catur Dakwah Crane Farmasi,0862340445,"Jl. Olumpic Raya Blok A4-A Kawasan Industri Sentul Babakan Madang, Bogor - Jawa Barat"
26,dsupp73347231,PT. First Medipharma,+62 (975) 799 1919,"Jalan Raya Candi Kabupaten Sidoarjo Jawa Timur"
27,dsupp58214817,PT. Catur Dakwah Crane Farmasi,+62-873-737-1774,"Jl. Olumpic Raya Blok A4-A Kawasan Industri Sentul Babakan Madang, Bogor - Jawa Barat"
28,dsupp19565330,PT. Metiska Farma,+62-819-147-4985,"Jl. Raya Kebayoran Lama No. 557, Kel. Grogol Selatan, Kec. Kebayoran Lama, Jakarta Selatan"
29,dsupp38526923,PT. Dipa Pharmalab Intersains,+62 (97) 953 6187,"Jl. Raya Kasokandel Km. 5 No. 74 Desa Kasokandel, Kecamatan Kasokandel, Kabupaten Majalengka"
30,dsupp75704988,PT. Bromo Pharmaceutical,0887561609,"Kompleks Industri & Pergudangan (Sentral Prima Teknopark) Blok A No. 10 Jl. Palem Manis Raya, Jatiuwung, Kel. Gandasari, Tangerang, Banten"
31,dsupp69321764,PT. Bio Kusuma,0852243123,"Pusat Niaga terpadu Blok A8 / O & P Kel. Poris Jaya Kec. Batu Ceper, Jl. Daan Mogot Km. 19.6, Tangerang"
32,dsupp17120593,PT. Hexpharm Jaya Laboratories,+62 (382) 594 1908,"JL. Angsana Raya Blok A3 No. 1 Delta Silicon I Kawasan Industri Lippo Cikarang, Bekasi, Jawa Barat."
33,dsupp37460815,PT. Mahakam Beta Farma,+62 (53) 736 5581,"Jalan Pulo Kambing II/20 Kawasan Industri"
34,dsupp49782875,PT. Novapharin,+62 (007) 329-6559,"Jl. Raya Kepatihan 112 Kec. Menganti Kab. Gresik, Jawa Timur"
35,dsupp39836038,PT. L'Essential,+62-0471-249-8186,"Taman Tekno Sektor XI, Blok C/3A Setu (Serpong), Tangerang"
36,dsupp06992859,PT. Astrazeneca Indonesia,+62-0049-500-2400,"Techno Park Blok B1A-B1B, Jababeka Industrial Park Cikarang, Bekasi - Jawa Barat"
37,dsupp05802845,PT. Arto Pharma Indonesia,+62 (058) 054 6695,"Jl. Siliwangi No. 49. Desa Keroncong, Jatiuwung, Tangerang 15134"
38,dsupp14798290,PT. Kimia Farma (Persero) Tbk - Watudakon,+62-44-210-7865,"Ds. Jombok, Kec. Kesamben, Kabupaten Jombang, Jawa Timur"
39,dsupp44078997,PT. Holi Pharma,089 538 6657,"Jl. Mahar Martanegara No. 100 Cimindi Kota Cimahi"
40,dsupp71075785,PT. Berkat Sentral Abadi Farma,+62 (63) 268-1410,"Jl. Raya Sadang No. 83, Desa Sadang, Kec. Taman, Kab. Sidoarjo - Jawa Timur"
41,dsupp15546999,PT. Perusahaan Dagang dan Industrie Itrasal (Itrasal),+62-091-049-7430,"Jl. Simongan No. 96 Semarang"
42,dsupp85567122,PT. Medifarma Laboratories,+62-145-363-7585,"Jl. Raya Jakarta - Bogor Km. 33, Kelurahan Curug, Kecamatan Cimanggis, Kota Depok, Jawa Barat"
43,dsupp98109159,PT. Bromo Pharmaceutical,+62 (0502) 672 2561,"Kompleks Industri & Pergudangan Sentral Prima Teknopark Blok A No. 10 Jl. Palem Manis Raya, Jatiuwung, Kel. Gandasari, Tangerang, Banten"
44,dsupp34171202,PT. Ikapharmindo Putramas,+62 (044) 954 2528,"Jl. Pulogadung Raya No. 29 Kawasan Industri Pulogadung, Jakarta Timur"
45,dsupp72812877,"Badan Tenaga Nuklir Nasional, Pusat Radioisotop dan Radiofarmaka",(008) 794 0999,"Kawasan Puspitek, Serpong, Kota Tangerang Selatan"
46,dsupp76894879,PT. Djojonegoro C-1000,+62 (63) 388-0427,"Jl. Raya Siliwangi KM. 18,9 Cicurug, Kabupaten Sukabumi"
47,dsupp68033910,PT. Biofarma (Persero),+62 (32) 784 0169,"Jalan Pasteur No. 28 Bandung"
48,dsupp86637336,PT. Ethica Industri Farmasi (Ethica),+62-0476-030-2396,"Kawasan Industri Jababeka Tahap V, Blok B1B1, Desa Jayamukti, Kecamatan Cikarang Pusat, Kabupaten Bekasi, Jawa Barat"
49,dsupp54845718,PT. Puspa Pharma,+62 (37) 711-1978,"Jl. Lio Baru No. 168, Desa Leuwinutug, Kec. Citeureup, Kabupaten Bogor"
50,dsupp98109152,PT. Bromo Pharmaceutical,+62 (0502) 672 2561,"Kompleks Industri & Pergudangan Sentral Prima Teknopark Blok A No. 10 Jl. Palem Manis Raya, Jatiuwung, Kel. Gandasari, Tangerang, Banten"
51,dsupp38526921,PT. Dipa Pharmalab Intersains,+62 (97) 953 6187,"Jl. Raya Kasokandel Km. 5 No. 74 Desa Kasokandel, Kecamatan Kasokandel, Kabupaten Majalengka"
52,dsupp90825385,PT. Gracia Pharmindo,0860817491,"Kawasan Industri Dwipapuri Blok M-30 Jl. Raya Rancaekek KM 24.5, Bandung."
53,dsupp43897988,Lembaga Farmasi Angkatan Udara Roostyan Effendie,(0893) 051-5450,"Jl. Abdulrahman Saleh, Komplek Lanud Husein Sastranegara, Bandung"
