transaction_logistic_pharmacy_id,date,drug_supplier,drug_id,quantity
L136,10/4/2016 19:30,dsupp86637336,drug90188947,262
L137,10/4/2016 19:30,dsupp86637336,drug37641146,890
L138,10/4/2016 19:30,dsupp86637336,drug62781800,994
L139,10/4/2016 19:30,dsupp86637336,drug54349650,790
L140,10/4/2016 19:30,dsupp86637336,drug45659690,303
L141,10/4/2016 19:30,dsupp86637336,drug07442995,276
L142,10/4/2016 19:30,dsupp86637336,drug37858179,887
L143,10/4/2016 19:30,dsupp86637336,drug07005824,600
L144,10/4/2016 19:30,dsupp86637336,drug39018649,406
L145,10/4/2016 19:30,dsupp86637336,drug05497454,658
L146,10/4/2016 19:30,dsupp86637336,drug03704639,109
L147,10/4/2016 19:30,dsupp86637336,drug63617689,813
L148,10/4/2016 19:30,dsupp86637336,drug62781800,238
L149,10/4/2016 19:30,dsupp86637336,drug82627058,296
L150,10/4/2016 19:30,dsupp86637336,drug30387515,430
L151,10/4/2016 19:30,dsupp86637336,drug57961255,481
L152,10/4/2016 19:30,dsupp86637336,drug07954108,707
L153,10/4/2016 19:30,dsupp86637336,drug91084545,465
L154,10/4/2016 19:30,dsupp86637336,drug22155948,400
L155,10/4/2016 19:30,dsupp86637336,drug12503070,266
L156,10/4/2016 19:30,dsupp86637336,drug53537447,964
L157,10/4/2016 19:30,dsupp86637336,drug90626067,916
L158,10/4/2016 19:30,dsupp86637336,drug25473605,568
L159,10/4/2016 19:30,dsupp86637336,drug81163762,726
L160,10/4/2016 19:30,dsupp86637336,drug27231500,219
L161,10/4/2016 19:30,dsupp86637336,drug37591403,706
L162,10/4/2016 19:30,dsupp86637336,drug25473605,681
L163,10/4/2016 19:30,dsupp86637336,drug07216213,802
L164,10/4/2016 19:30,dsupp86637336,drug72250907,584
L165,10/4/2016 19:30,dsupp86637336,drug82563585,235
L166,10/4/2016 19:30,dsupp86637336,drug34105634,715
L167,10/4/2016 19:30,dsupp86637336,drug83741951,336
L168,10/4/2016 19:30,dsupp86637336,drug85864856,680
L169,10/4/2016 19:30,dsupp86637336,drug90626067,643
L170,10/4/2016 19:30,dsupp86637336,drug02684192,852
L171,10/4/2016 19:30,dsupp86637336,drug96335857,227
L172,10/4/2016 19:30,dsupp86637336,drug22852205,866
L173,10/4/2016 19:30,dsupp86637336,drug76207815,400
L174,10/4/2016 19:30,dsupp86637336,drug37448561,755
L175,10/4/2016 19:30,dsupp86637336,drug83741951,538
L176,10/4/2016 19:30,dsupp86637336,drug37448561,973
L177,10/4/2016 19:30,dsupp86637336,drug24274852,799
L178,10/4/2016 19:30,dsupp86637336,drug51423551,603
L179,10/4/2016 19:30,dsupp86637336,drug63247565,469
L180,10/4/2016 19:30,dsupp86637336,drug80124078,305
L181,10/4/2016 19:30,dsupp86637336,drug45403330,783
L182,10/4/2016 19:30,dsupp86637336,drug67531332,226
L183,10/4/2016 19:30,dsupp86637336,drug63702156,915
L184,10/4/2016 19:30,dsupp86637336,drug02277240,805
L185,10/4/2016 19:30,dsupp86637336,drug91871275,527
L186,10/4/2016 19:30,dsupp86637336,drug40688589,375
L187,10/4/2016 19:30,dsupp86637336,drug20114367,364
L188,10/4/2016 19:30,dsupp86637336,drug72889619,204
L189,10/4/2016 19:30,dsupp86637336,drug38475368,235
L190,10/4/2016 19:30,dsupp86637336,drug67522019,899
L191,10/4/2016 19:30,dsupp86637336,drug51423551,615
L192,10/4/2016 19:30,dsupp86637336,drug21625060,932
L193,10/4/2016 19:30,dsupp86637336,drug37591403,221
L194,10/4/2016 19:30,dsupp86637336,drug82627058,457
L195,10/4/2016 19:30,dsupp86637336,drug40298825,538
L196,10/4/2016 19:30,dsupp86637336,drug40688589,677
L197,10/4/2016 19:30,dsupp86637336,drug54148048,813
L198,10/4/2016 19:30,dsupp86637336,drug22852205,815
L199,10/4/2016 19:30,dsupp86637336,drug31410335,852
L200,10/4/2016 19:30,dsupp86637336,drug23177871,811
L201,10/4/2016 19:30,dsupp86637336,drug07954108,144
L202,10/4/2016 19:30,dsupp86637336,drug51906948,270
L203,10/4/2016 19:30,dsupp86637336,drug63247565,638
L204,10/4/2016 19:30,dsupp86637336,drug52874741,391
L205,10/4/2016 19:30,dsupp86637336,drug09768543,829
L206,10/4/2016 19:30,dsupp86637336,drug26446547,977
L207,10/4/2016 19:30,dsupp86637336,drug73216940,311
L208,10/4/2016 19:30,dsupp86637336,drug98072057,229
L209,10/4/2016 19:30,dsupp86637336,drug70415612,508
L210,10/4/2016 19:30,dsupp86637336,drug15371560,171
L211,10/4/2016 19:30,dsupp86637336,drug18797701,610
L212,10/4/2016 19:30,dsupp86637336,drug82307868,683
L213,10/4/2016 19:30,dsupp86637336,drug71734989,223
L214,10/4/2016 19:30,dsupp86637336,drug96966044,448
L215,10/4/2016 19:30,dsupp86637336,drug77438058,442
L216,10/4/2016 19:30,dsupp86637336,drug40052861,858
L217,10/4/2016 19:30,dsupp86637336,drug59470267,332
L218,10/4/2016 19:30,dsupp86637336,drug89581438,179
L219,10/4/2016 19:30,dsupp86637336,drug43279241,488
L220,10/4/2016 19:30,dsupp86637336,drug96302910,247
L221,10/4/2016 19:30,dsupp86637336,drug54148048,236
L222,10/4/2016 19:30,dsupp86637336,drug85881884,996
L223,10/4/2016 19:30,dsupp86637336,drug19384863,609
L224,10/4/2016 19:30,dsupp86637336,drug23177871,749
L225,10/4/2016 19:30,dsupp86637336,drug20906559,467
L226,10/4/2016 19:30,dsupp86637336,drug82563585,809
L227,10/4/2016 19:30,dsupp86637336,drug61531215,259
L228,10/4/2016 19:30,dsupp86637336,drug88734576,838
L229,10/4/2016 19:30,dsupp86637336,drug96335857,409
L230,10/4/2016 19:30,dsupp86637336,drug90482731,775
L231,10/4/2016 19:30,dsupp86637336,drug00296038,451
L232,10/4/2016 19:30,dsupp86637336,drug15371560,393
L233,10/4/2016 19:30,dsupp86637336,drug28011682,277
L234,10/4/2016 19:30,dsupp86637336,drug82307868,246
L235,10/4/2016 19:30,dsupp86637336,drug98072057,157
L236,10/4/2016 19:30,dsupp86637336,drug91243812,676
L237,10/4/2016 19:30,dsupp86637336,drug36645459,665
L238,10/4/2016 19:30,dsupp86637336,drug90419812,276
L239,10/4/2016 19:30,dsupp86637336,drug19384863,156
L240,10/4/2016 19:30,dsupp86637336,drug91280893,896
L241,10/4/2016 19:30,dsupp86637336,drug09332102,963
L242,10/4/2016 19:30,dsupp86637336,drug22125507,846
L243,10/4/2016 19:30,dsupp86637336,drug63758054,531
L244,10/4/2016 19:30,dsupp86637336,drug47051621,497
L245,10/4/2016 19:30,dsupp86637336,drug97899020,597
L246,10/4/2016 19:30,dsupp86637336,drug85864856,364
L247,10/4/2016 19:30,dsupp86637336,drug36537068,662
L248,10/4/2016 19:30,dsupp86637336,drug04673408,694
L249,10/4/2016 19:30,dsupp86637336,drug00913164,385
L250,10/4/2016 19:30,dsupp86637336,drug27231500,933
L251,10/4/2016 19:30,dsupp86637336,drug91243812,674
L252,10/4/2016 19:30,dsupp86637336,drug04679172,676
L253,10/4/2016 19:30,dsupp86637336,drug78223950,691
L254,10/4/2016 19:30,dsupp86637336,drug72250907,192
L255,10/4/2016 19:30,dsupp86637336,drug40298825,707
L256,10/4/2016 19:30,dsupp86637336,drug16108141,251
L257,10/4/2016 19:30,dsupp86637336,drug02160115,513
L258,10/4/2016 19:30,dsupp86637336,drug83741951,756
L259,10/4/2016 19:30,dsupp86637336,drug81478514,243
L260,10/4/2016 19:30,dsupp86637336,drug07951190,270
L261,10/4/2016 19:30,dsupp86637336,drug40052861,632
L262,10/4/2016 19:30,dsupp86637336,drug67522019,518
L263,10/4/2016 19:30,dsupp86637336,drug90419812,761
L264,10/4/2016 19:30,dsupp86637336,drug56280364,848
L265,10/4/2016 19:30,dsupp86637336,drug78223950,498
L266,10/4/2016 19:30,dsupp86637336,drug81285006,838
L267,10/4/2016 19:30,dsupp86637336,drug31410335,274
L268,10/4/2016 19:30,dsupp86637336,drug02277240,365
L269,10/4/2016 19:30,dsupp86637336,drug98072057,210
L270,10/4/2016 19:30,dsupp86637336,drug67522019,634
L271,10/4/2016 19:30,dsupp86637336,drug98928200,909
L272,10/4/2016 19:30,dsupp86637336,drug96966044,533
L273,10/4/2016 19:30,dsupp86637336,drug81478514,992
L274,10/4/2016 19:30,dsupp86637336,drug95984926,222
L275,10/4/2016 19:30,dsupp86637336,drug02160115,299
L276,10/4/2016 19:30,dsupp86637336,drug38475368,434
L277,10/4/2016 19:30,dsupp86637336,drug36775507,253
L278,10/4/2016 19:30,dsupp86637336,drug37858179,147
L279,10/4/2016 19:30,dsupp86637336,drug96302910,562
L280,10/4/2016 19:30,dsupp86637336,drug51976255,112
L281,10/4/2016 19:30,dsupp86637336,drug39502094,980
L282,10/4/2016 19:30,dsupp86637336,drug63617689,783
L283,10/4/2016 19:30,dsupp86637336,drug85864856,756
L284,10/4/2016 19:30,dsupp86637336,drug14294525,514
L285,10/4/2016 19:30,dsupp86637336,drug14294525,307
L286,10/4/2016 19:30,dsupp86637336,drug96966044,145
L287,10/4/2016 19:30,dsupp86637336,drug39502094,489
L288,10/4/2016 19:30,dsupp86637336,drug63441802,584
L289,10/4/2016 19:30,dsupp86637336,drug22852205,744
L290,10/4/2016 19:30,dsupp86637336,drug84538864,513
L291,10/4/2016 19:30,dsupp86637336,drug15406590,396
L292,10/4/2016 19:30,dsupp86637336,drug36646647,556
L293,10/4/2016 19:30,dsupp86637336,drug13038472,435
L294,10/4/2016 19:30,dsupp86637336,drug78279223,223
L295,10/4/2016 19:30,dsupp86637336,drug51976255,657
L296,10/4/2016 19:30,dsupp86637336,drug61531215,438
L297,10/4/2016 19:30,dsupp86637336,drug56280364,997
L298,10/4/2016 19:30,dsupp86637336,drug09768543,722
L299,10/4/2016 19:30,dsupp86637336,drug40688589,904
L300,10/4/2016 19:30,dsupp86637336,drug45482502,801
L301,10/4/2016 19:30,dsupp86637336,drug31784573,655
L302,10/4/2016 19:30,dsupp86637336,drug16108141,601
L303,10/4/2016 19:30,dsupp86637336,drug77438058,171
L304,10/4/2016 19:30,dsupp86637336,drug09332102,474
L305,10/4/2016 19:30,dsupp86637336,drug84538864,630
L306,10/4/2016 19:30,dsupp86637336,drug83393358,946
L307,10/4/2016 19:30,dsupp86637336,drug68272647,652
L308,10/4/2016 19:30,dsupp86637336,drug07954108,117
L309,10/4/2016 19:30,dsupp86637336,drug90626067,733
L310,10/4/2016 19:30,dsupp86637336,drug65864098,609
L311,10/4/2016 19:30,dsupp86637336,drug53526540,887
L312,10/4/2016 19:30,dsupp86637336,drug66048138,666
L313,10/4/2016 19:30,dsupp86637336,drug35061861,327
L314,10/4/2016 19:30,dsupp86637336,drug48331708,371
L315,10/4/2016 19:30,dsupp86637336,drug87480702,841
L316,10/4/2016 19:30,dsupp86637336,drug96335857,149
L317,10/4/2016 19:30,dsupp86637336,drug00666374,530
L318,10/4/2016 19:30,dsupp86637336,drug92078413,896
L319,10/4/2016 19:30,dsupp86637336,drug75324698,873
L320,10/4/2016 19:30,dsupp86637336,drug59016069,138
L321,10/4/2016 19:30,dsupp86637336,drug91243812,391
L322,10/4/2016 19:30,dsupp86637336,drug73216940,188
L323,10/4/2016 19:30,dsupp86637336,drug38475368,465
L324,10/4/2016 19:30,dsupp86637336,drug63617689,775
L325,10/4/2016 19:30,dsupp86637336,drug63247565,669
L326,10/4/2016 19:30,dsupp86637336,drug66048138,139
L327,10/4/2016 19:30,dsupp86637336,drug54349650,588
L328,10/4/2016 19:30,dsupp86637336,drug00666374,189
L329,10/4/2016 19:30,dsupp86637336,drug78223950,315
L330,10/4/2016 19:30,dsupp86637336,drug11824657,156
L331,10/4/2016 19:30,dsupp86637336,drug83393358,817
L332,10/4/2016 19:30,dsupp86637336,drug07596964,548
L333,10/4/2016 19:30,dsupp86637336,drug62781800,787
L334,10/4/2016 19:30,dsupp86637336,drug00913164,800
L335,10/4/2016 19:30,dsupp86637336,drug90626067,235
L336,10/4/2016 19:30,dsupp86637336,drug88734576,448
L337,10/4/2016 19:30,dsupp86637336,drug62529365,976
L338,10/4/2016 19:30,dsupp86637336,drug90419812,392
L339,10/4/2016 19:30,dsupp86637336,drug35020578,579
L340,10/4/2016 19:30,dsupp86637336,drug31999410,435
L341,10/4/2016 19:30,dsupp86637336,drug35020578,707
L342,10/4/2016 19:30,dsupp86637336,drug07216213,984
L343,10/4/2016 19:30,dsupp86637336,drug51976255,954
L344,10/4/2016 19:30,dsupp86637336,drug31784573,657
L345,10/4/2016 19:30,dsupp86637336,drug72250907,706
L346,10/4/2016 19:30,dsupp86637336,drug72930892,332
L347,10/4/2016 19:30,dsupp86637336,drug44812263,561
L348,10/4/2016 19:30,dsupp86637336,drug06536879,713
L349,10/4/2016 19:30,dsupp86637336,drug22852205,119
L350,10/4/2016 19:30,dsupp86637336,drug45659690,417
L351,10/4/2016 19:30,dsupp86637336,drug82066062,608
L352,10/4/2016 19:30,dsupp86637336,drug52419621,576
L353,10/4/2016 19:30,dsupp86637336,drug22125507,569
L354,10/4/2016 19:30,dsupp86637336,drug98072057,832
L355,10/4/2016 19:30,dsupp86637336,drug75151645,749
L356,10/4/2016 19:30,dsupp86637336,drug83741951,381
L357,10/4/2016 19:30,dsupp86637336,drug85966482,587
L358,10/4/2016 19:30,dsupp86637336,drug73216940,977
L359,10/4/2016 19:30,dsupp86637336,drug90419812,185
L360,10/4/2016 19:30,dsupp86637336,drug05244287,737
L361,10/4/2016 19:30,dsupp86637336,drug39018649,524
L362,10/4/2016 19:30,dsupp86637336,drug77438058,252
L363,10/4/2016 19:30,dsupp86637336,drug59016069,807
L364,10/4/2016 19:30,dsupp86637336,drug58415733,502
L365,10/4/2016 19:30,dsupp86637336,drug54148048,935
L366,10/4/2016 19:30,dsupp86637336,drug65864098,431
L367,10/4/2016 19:30,dsupp86637336,drug47051621,114
L368,10/4/2016 19:30,dsupp86637336,drug62781800,986
L369,10/4/2016 19:30,dsupp86637336,drug22125507,282
L370,10/4/2016 19:30,dsupp86637336,drug31410335,602
L371,10/4/2016 19:30,dsupp86637336,drug91280893,885
L372,10/4/2016 19:30,dsupp86637336,drug70415612,910
L373,10/4/2016 19:30,dsupp86637336,drug36537068,692
L374,10/4/2016 19:30,dsupp86637336,drug81472369,940
L375,10/4/2016 19:30,dsupp86637336,drug22125507,622
L376,10/4/2016 19:30,dsupp86637336,drug82307868,328
L377,10/4/2016 19:30,dsupp86637336,drug25473605,891
L378,10/4/2016 19:30,dsupp86637336,drug52419621,483
L379,10/4/2016 19:30,dsupp86637336,drug36775507,456
L380,10/4/2016 19:30,dsupp86637336,drug06536879,756
L381,10/4/2016 19:30,dsupp86637336,drug72250907,836
L382,10/4/2016 19:30,dsupp86637336,drug98928200,608
L383,10/4/2016 19:30,dsupp86637336,drug02277240,269
L384,10/4/2016 19:30,dsupp86637336,drug40298825,320
L385,10/4/2016 19:30,dsupp86637336,drug31999410,289
L386,10/4/2016 19:30,dsupp86637336,drug31410335,170
L387,10/4/2016 19:30,dsupp86637336,drug57961255,472
L388,10/4/2016 19:30,dsupp86637336,drug96637593,178
L389,10/4/2016 19:30,dsupp86637336,drug40052861,261
L390,10/4/2016 19:30,dsupp86637336,drug48331708,597
L391,10/4/2016 19:30,dsupp86637336,drug25473605,834
L392,10/4/2016 19:30,dsupp86637336,drug75324698,531
L393,10/4/2016 19:30,dsupp86637336,drug15406590,548
L394,10/4/2016 19:30,dsupp86637336,drug12503070,463
L395,10/4/2016 19:30,dsupp86637336,drug82307868,149
L396,10/4/2016 19:30,dsupp86637336,drug12503070,254
L397,10/4/2016 19:30,dsupp86637336,drug16113015,267
L398,10/4/2016 19:30,dsupp86637336,drug63702156,990
L399,10/4/2016 19:30,dsupp86637336,drug60470010,669
L400,10/4/2016 19:30,dsupp86637336,drug07596964,944
L401,10/4/2016 19:30,dsupp86637336,drug80124078,292
L402,10/4/2016 19:30,dsupp86637336,drug25473605,474
L403,10/4/2016 19:30,dsupp86637336,drug97899020,628
L404,10/4/2016 19:30,dsupp86637336,drug70415612,404
L405,10/4/2016 19:30,dsupp86637336,drug68357658,733
L406,10/4/2016 19:30,dsupp86637336,drug67522019,874
L407,10/4/2016 19:30,dsupp86637336,drug70453034,170
L408,10/4/2016 19:30,dsupp86637336,drug05244287,396
L409,10/4/2016 19:30,dsupp86637336,drug55536073,585
L410,10/4/2016 19:30,dsupp86637336,drug81478514,661
L411,10/4/2016 19:30,dsupp86637336,drug81459506,887
L412,10/4/2016 19:30,dsupp86637336,drug45403330,429
L413,10/4/2016 19:30,dsupp86637336,drug82670597,235
L414,10/4/2016 19:30,dsupp86637336,drug51906948,761
L415,10/4/2016 19:30,dsupp86637336,drug43279241,464
L416,10/4/2016 19:30,dsupp86637336,drug43043958,379
L417,10/4/2016 19:30,dsupp86637336,drug85864856,332
L418,10/4/2016 19:30,dsupp86637336,drug96637593,440
L419,10/4/2016 19:30,dsupp86637336,drug80453208,705
L420,10/4/2016 19:30,dsupp86637336,drug57961255,116
L421,10/4/2016 19:30,dsupp86637336,drug02160115,323
L422,10/4/2016 19:30,dsupp86637336,drug89581438,865
L423,10/4/2016 19:30,dsupp86637336,drug40298825,845
L424,10/4/2016 19:30,dsupp86637336,drug55536073,758
L425,10/4/2016 19:30,dsupp86637336,drug43043958,805
L426,10/4/2016 19:30,dsupp86637336,drug31004220,260
L427,10/4/2016 19:30,dsupp86637336,drug45996863,988
L428,10/4/2016 19:30,dsupp86637336,drug62781800,368
L429,10/4/2016 19:30,dsupp86637336,drug22155948,808
L430,10/4/2016 19:30,dsupp86637336,drug80124078,478
L431,10/4/2016 19:30,dsupp86637336,drug61531215,549
L432,10/4/2016 19:30,dsupp86637336,drug17244244,735
L433,10/4/2016 19:30,dsupp86637336,drug90730092,690
L434,10/4/2016 19:30,dsupp86637336,drug96302910,320
L435,10/4/2016 19:30,dsupp86637336,drug63247565,963
L436,10/4/2016 19:30,dsupp86637336,drug43279241,335
L437,10/4/2016 19:30,dsupp86637336,drug85864856,916
L438,10/4/2016 19:30,dsupp86637336,drug26446547,448
L439,10/4/2016 19:30,dsupp86637336,drug90730092,133
L440,10/4/2016 19:30,dsupp86637336,drug98072057,924
L441,10/4/2016 19:30,dsupp86637336,drug37858179,884
L442,10/4/2016 19:30,dsupp86637336,drug04679172,383
L443,10/4/2016 19:30,dsupp86637336,drug98072057,393
L444,10/4/2016 19:30,dsupp86637336,drug16108141,466
L445,10/4/2016 19:30,dsupp86637336,drug07951190,465
L446,10/4/2016 19:30,dsupp86637336,drug31004220,211
L447,10/4/2016 19:30,dsupp86637336,drug78279223,825
L448,10/4/2016 19:30,dsupp86637336,drug25473605,177
L449,10/4/2016 19:30,dsupp86637336,drug45659690,996
L450,10/4/2016 19:30,dsupp86637336,drug24714877,861
L451,10/4/2016 19:30,dsupp86637336,drug87480702,290
L452,10/4/2016 19:30,dsupp86637336,drug96637593,641
L453,10/4/2016 19:30,dsupp86637336,drug49452730,556
L454,10/4/2016 19:30,dsupp86637336,drug53537447,112
L455,10/4/2016 19:30,dsupp86637336,drug31784573,563
L456,10/4/2016 19:30,dsupp86637336,drug43279241,380
L457,10/4/2016 19:30,dsupp86637336,drug40298825,759
L458,10/4/2016 19:30,dsupp86637336,drug09332102,518
L459,10/4/2016 19:30,dsupp86637336,drug12890255,345
L460,10/4/2016 19:30,dsupp86637336,drug31999410,727
L461,10/4/2016 19:30,dsupp86637336,drug67522019,151
L462,10/4/2016 19:30,dsupp86637336,drug45482502,140
L463,10/4/2016 19:30,dsupp86637336,drug43043958,595
L464,10/4/2016 19:30,dsupp86637336,drug45659690,846
